Protein	gene	Indistinguishable.Proteins	Description	ko_id
26120	P41374	group7_bins.260_contig_5058153_3		rank: C;rhamnogalacturonan endolyase [EC:4.2.2.23] (db=kegg)	K18197
26121	P41377	group7_bins.260_contig_5058169_2		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
26122	P41383	group7_bins.260_contig_5058190_3		rank: C;large subunit ribosomal protein L3 (db=kegg)	K02906
26123	P41384	group7_bins.260_contig_5058195_4		rank: C;rubrerythrin (db=kegg)	K19824
26124	P41386	group7_bins.260_contig_5058202_5		rank: D;TonB dependent receptor-like, beta-barrel [PF00593.29] (db=pfam)	NA
26125	P41388	group7_bins.260_contig_5058222_13		rank: C;large subunit ribosomal protein L31 (db=kegg)	K02909
26126	P41389	group7_bins.260_contig_5058222_4		rank: C;biopolymer transport protein ExbB (db=kegg)	K03561
26127	P41393	group7_bins.260_contig_5058240_3		rank: C;acetolactate synthase I/II/III large subunit [EC:2.2.1.6] (db=kegg)	K01652
26128	P41397	group7_bins.260_contig_5058270_3		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
26129	P41398	group7_bins.260_contig_5058270_4		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26130	P41401	group7_bins.281_contig_462891_4		rank: C;asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4] (db=kegg)	K01953
26131	P41407	group7_bins.281_contig_462978_5		rank: C;multidrug/hemolysin transport system ATP-binding protein (db=kegg)	K11050
26132	P41411	group7_bins.281_contig_463004_6		rank: E	NA
26133	P41414	group7_bins.282_contig_1678188_2		rank: D;OmpA family [PF00691.25] (db=pfam)	NA
26134	P41415	group7_bins.282_contig_1678188_47		rank: C;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] (db=kegg)	K15633
26135	P41417	group7_bins.282_contig_1678188_91		rank: D;F5/8 type C domain [PF00754.30] (db=pfam)	NA
26136	P41422	group7_bins.282_contig_1678190_47		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
26137	P41423	group7_bins.282_contig_1678191_39		rank: C;phosphate-selective porin OprO and OprP (db=kegg)	K07221
26138	P41424	group7_bins.282_contig_1678195_35		rank: C;succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1] (db=kegg)	K00240
26139	P41425	group7_bins.282_contig_1678195_36		rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)	K00239
26140	P41426	group7_bins.282_contig_1678195_5		rank: E	NA
26141	P41430	group7_bins.282_contig_1678208_185		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
26142	P41431	group7_bins.282_contig_1678208_2		rank: C;biopolymer transport protein ExbB (db=kegg)	K03561
26143	P41434	group7_bins.282_contig_1678208_240		rank: D;Starch-binding associating with outer membrane [PF12771.12];Susd and RagB outer membrane lipoprotein [PF12741.12];Starch-binding associating with outer membrane [PF14322.11] (db=pfam)	NA
26144	P41435	group7_bins.282_contig_1678208_241		rank: D;TonB dependent receptor-like, beta-barrel [PF00593.29];CarboxypepD_reg-like domain [PF13715.11];TonB-dependent Receptor Plug Domain [PF07715.20] (db=pfam)	NA
26145	P41437	group7_bins.282_contig_1678208_270		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)	K01610
26146	P41438	group7_bins.282_contig_1678214_25		rank: E	NA
26147	P41440	group7_bins.282_contig_1678214_75		rank: C;tryptophan synthase beta chain [EC:4.2.1.20] (db=kegg)	K06001
26148	P41443	group7_bins.282_contig_1678215_38		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
26149	P41444	group7_bins.282_contig_1678215_56		rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
26150	P41445	group7_bins.282_contig_1678215_58		rank: C;small subunit ribosomal protein S4 (db=kegg)	K02986
26151	P41446	group7_bins.282_contig_1678215_59		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
26152	P41447	group7_bins.282_contig_1678217_9		rank: C;carbamoyl-phosphate synthase large subunit [EC:6.3.5.5] (db=kegg)	K01955
26153	P41448	group7_bins.282_contig_1678218_3		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
26154	P41450	group7_bins.282_contig_1678219_3		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26155	P41451	group7_bins.282_contig_1678219_4		rank: E	NA
26156	P41452	group7_bins.282_contig_1678219_5		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
26157	P41453	group7_bins.282_contig_1678219_6		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26158	P41454	group7_bins.282_contig_1678219_7		rank: E	NA
26159	P41456	group7_bins.351_contig_6253734_4		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
26160	P41457	group7_bins.351_contig_6253734_5		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26161	P41460	group7_bins.351_contig_6253766_1		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
26162	P41462	group7_bins.351_contig_6253783_8		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26163	P41463	group7_bins.351_contig_6253783_9		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
26164	P41465	group7_bins.351_contig_6253800_5		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26165	P41467	group7_bins.351_contig_6253806_24		rank: D;OmpA family [PF00691.25] (db=pfam)	NA
26166	P41469	group7_bins.351_contig_6253820_2		rank: E	NA
26167	P41471	group7_bins.351_contig_6253836_4		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26168	P41472	group7_bins.351_contig_6253844_7		rank: E	NA
26169	P41473	group7_bins.351_contig_6253845_1		rank: C;2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4] (db=kegg)	K11381
26170	P41474	group7_bins.351_contig_6253848_8		rank: C;biopolymer transport protein ExbB (db=kegg)	K03561
26171	P41475	group7_bins.351_contig_6253849_2		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
26172	P41476	group7_bins.351_contig_6253869_3		rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)	NA
26173	P41478	group7_bins.351_contig_6253875_8		rank: C;elongation factor Tu (db=kegg)	K02358
26174	P41483	group7_bins.365_contig_3581942_9		rank: E	NA
26175	P41484	group7_bins.365_contig_3581946_18		rank: C;rubrerythrin (db=kegg)	K19824
26176	P41486	group7_bins.365_contig_3581957_7		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26177	P41488	group7_bins.365_contig_3581976_13		rank: D;Carboxypeptidase regulatory-like domain [PF13620.11];CarboxypepD_reg-like domain [PF13715.11] (db=pfam)	NA
26178	P41489	group7_bins.365_contig_3581980_26		rank: D;CarboxypepD_reg-like domain [PF13715.11];TonB-dependent Receptor Plug Domain [PF07715.20] (db=pfam)	NA
26179	P41490	group7_bins.365_contig_3581984_4		rank: E	NA
26180	P41493	group7_bins.365_contig_3582001_9		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26181	P41497	group7_bins.365_contig_3582028_8		rank: E	NA
26182	P41499	group7_bins.365_contig_3582047_10		rank: E	NA
26183	P41501	group7_bins.365_contig_3582055_7		rank: C;HSP20 family protein (db=kegg)	K13993
26184	P41503	group7_bins.365_contig_3582074_7		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	NA
26185	P41505	group7_bins.365_contig_3582075_3		rank: C;ferritin [EC:1.16.3.2] (db=kegg)	K02217
26186	P41507	group7_bins.365_contig_3582107_4		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26187	P41508	group7_bins.365_contig_3582107_5		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
26188	P41510	group7_bins.365_contig_3582113_8		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26189	P41515	group7_bins.369_contig_6534206_9		rank: C;GTP-binding protein (db=kegg)	K06207
26190	P41518	group7_bins.369_contig_6534208_3		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
26191	P41525	group7_bins.369_contig_6534209_8		rank: C;elongation factor Tu (db=kegg)	K02358
26192	P41528	group7_bins.369_contig_6534212_6		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
26193	P41531	group7_bins.369_contig_6534215_5		rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)	K00016
26194	P41532	group7_bins.369_contig_6534215_8		rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)	K00088
26195	P41533	group7_bins.369_contig_6534216_23		rank: C;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (db=kegg)	K04072
26196	P41534	group7_bins.369_contig_6534216_24		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)	NA
26197	P41535	group7_bins.369_contig_6534216_25		rank: D;SipL, SPOCS domain [PF12673.12] (db=pfam)	NA
26198	P41537	group7_bins.369_contig_6534216_28		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)	K01810
26199	P41540	group7_bins.369_contig_6534218_3		rank: C;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] (db=kegg)	K01596
26200	P41545	group7_bins.369_contig_6534220_15		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpX (db=kegg)	K03544
26201	P41549	group7_bins.369_contig_6534224_1		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	NA
26202	P41550	group7_bins.369_contig_6534224_2		rank: E	NA
26203	P41551	group7_bins.369_contig_6534225_5		rank: C;glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16] (db=kegg)	K00820
26204	P41553	group7_bins.369_contig_6534226_18		rank: C;large subunit ribosomal protein L6 (db=kegg)	K02933
26205	P41558	group7_bins.369_contig_6534226_32		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
26206	P41562	group7_bins.369_contig_6534226_9		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
26207	P41565	group7_bins.369_contig_6534227_36		rank: C;molecular chaperone DnaK (db=kegg)	K04043
26208	P41571	group7_bins.369_contig_6534230_2		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
26209	P41573	group7_bins.369_contig_6534230_24		rank: C;acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] (db=kegg)	K01961
26210	P41575	group7_bins.369_contig_6534230_4		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
26211	P41577	group7_bins.369_contig_6534233_3		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
26212	P41578	group7_bins.369_contig_6534233_4		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
26213	P41581	group7_bins.369_contig_6534235_7		rank: C;D-alanine-D-alanine ligase [EC:6.3.2.4] (db=kegg)	K01921
26214	P41582	group7_bins.369_contig_6534237_14		rank: C;chaperonin GroES (db=kegg)	K04078
26215	P41583	group7_bins.369_contig_6534237_15		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
26216	P41589	group7_bins.369_contig_6534241_6		rank: C;V/A-type H+/Na+-transporting ATPase subunit C (db=kegg)	K02119
26217	P41600	group7_bins.370_contig_4873564_13		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
26218	P41601	group7_bins.370_contig_4873564_5		rank: C;glutaminyl-tRNA synthetase [EC:6.1.1.18] (db=kegg)	K01886
26219	P41603	group7_bins.370_contig_4873567_8		rank: E	NA
26220	P41604	group7_bins.370_contig_4873572_31		rank: E	NA
26221	P41605	group7_bins.370_contig_4873575_4		rank: C;transaldolase [EC:2.2.1.2] (db=kegg)	K00616
26222	P41606	group7_bins.370_contig_4873576_4		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpC (db=kegg)	K03696
26223	P41608	group7_bins.370_contig_4873578_1		rank: D;Pyruvate formate lyase-like [PF02901.20];Glycine radical [PF01228.26] (db=pfam)	NA
26224	P41609	group7_bins.370_contig_4873578_14		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
26225	P41613	group7_bins.370_contig_4873587_17		rank: E	NA
26226	P41615	group7_bins.370_contig_4873592_4		rank: C;two-component system, OmpR family, response regulator (db=kegg)	K02483
26227	P41617	group7_bins.370_contig_4873598_1		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
26228	P41618	group7_bins.370_contig_4873606_41		rank: C;HSP20 family protein (db=kegg)	K13993
26229	P41619	group7_bins.370_contig_4873606_47		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	K03695
26230	P41622	group7_bins.370_contig_4873616_8		rank: C;F-type H+-transporting ATPase subunit b (db=kegg)	K02109
26231	P41623	group7_bins.370_contig_4873630_1		rank: E	NA
26232	P41624	group7_bins.370_contig_4873632_7		rank: C;molecular chaperone DnaK (db=kegg)	K04043
26233	P41625	group7_bins.370_contig_4873635_12		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
26234	P41627	group7_bins.370_contig_4873636_10		rank: C;large subunit ribosomal protein L17 (db=kegg)	K02879
26235	P41628	group7_bins.370_contig_4873636_11		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
26236	P41630	group7_bins.370_contig_4873636_14		rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
26237	P41633	group7_bins.370_contig_4873636_26		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
26238	P41634	group7_bins.370_contig_4873636_31		rank: C;large subunit ribosomal protein L16 (db=kegg)	K02878
26239	P41635	group7_bins.370_contig_4873642_2		rank: C;3-isopropylmalate dehydrogenase [EC:1.1.1.85] (db=kegg)	K00052
26240	P41636	group7_bins.370_contig_4873651_1		rank: E	NA
26241	P41637	group7_bins.370_contig_4873655_10		rank: E	NA
26242	P41638	group7_bins.370_contig_4873656_1		rank: D;Carbohydrate binding module 65 domain 1 [PF18259.6] (db=pfam)	NA
26243	P41642	group7_bins.370_contig_4873659_38		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
26244	P41643	group7_bins.370_contig_4873663_15		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
26245	P41648	group7_bins.370_contig_4873678_1		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
26246	P41649	group7_bins.370_contig_4873680_12		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
26247	P41650	group7_bins.370_contig_4873692_1		rank: C;flagellin (db=kegg)	K02406
26248	P41651	group7_bins.370_contig_4873694_23		rank: C;HSP20 family protein (db=kegg)	K13993
26249	P41653	group7_bins.370_contig_4873699_9		rank: D;Carboxyl transferase domain [PF01039.27];Acetyl co-enzyme A carboxylase carboxyltransferase-like [PF03255.19] (db=pfam)	NA
26250	P41654	group7_bins.370_contig_4873702_6		rank: D;Phosphotransferase enzyme family [PF01636.28];Protein kinase domain [PF00069.30];Choline/ethanolamine kinase [PF01633.25];Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.19];Ternary complex associated domain 9 [PF19974.4];Lipopolysaccharide core biosynthesis protein (WaaY) [PF06176.16];Uncharacterized oxidoreductase dhs-27 [PF07914.16] (db=pfam)	NA
26251	P41655	group7_bins.370_contig_4873702_7		rank: C;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (db=kegg)	K04072
26252	P41657	group7_bins.370_contig_4873707_10		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
26253	P41659	group7_bins.370_contig_4873708_8		rank: C;phosphoglucosamine mutase [EC:5.4.2.10] (db=kegg)	K03431
26254	P41660	group7_bins.370_contig_4873713_12		rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)	K01923
26255	P41661	group7_bins.370_contig_4873713_8		rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
26256	P41662	group7_bins.370_contig_4873725_7		rank: C;flagellar hook protein FlgE (db=kegg)	K02390
26257	P41664	group7_bins.394_contig_663657_54		rank: C;electron transfer flavoprotein alpha subunit (db=kegg)	K03522
26258	P41665	group7_bins.394_contig_663663_13		rank: C;nucleobase:cation symporter-1, NCS1 family (db=kegg)	K03457
26259	P41667	group7_bins.394_contig_663691_1		rank: D;Aldehyde dehydrogenase family [PF00171.27] (db=pfam)	NA
26260	P41668	group7_bins.394_contig_663691_2		rank: C;beta-alanine---2-oxoglutarate transaminase [EC:2.6.1.120] (db=kegg)	K25571
26261	P41670	group7_bins.394_contig_663706_3		rank: C;Na+:H+ antiporter, NhaC family (db=kegg)	K03315
26262	P41672	group7_bins.394_contig_663708_23		rank: C;elongation factor G (db=kegg)	K02355
26263	P41676	group7_bins.394_contig_663715_6		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	K03695
26264	P41678	group7_bins.394_contig_663716_26		rank: C;formate--tetrahydrofolate ligase [EC:6.3.4.3] (db=kegg)	K01938
26265	P41681	group7_bins.409_contig_4307662_3		rank: C;dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3] (db=kegg)	K13940
26266	P41685	group7_bins.409_contig_4307668_24		rank: C;rubrerythrin (db=kegg)	K19824
26267	P41686	group7_bins.409_contig_4307676_11		rank: E	NA
26268	P41687	group7_bins.409_contig_4307677_19		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
26269	P41689	group7_bins.409_contig_4307688_7		rank: C;P-type Ca2+ transporter type 2C [EC:7.2.2.10] (db=kegg)	K01537
26270	P41690	group7_bins.409_contig_4307701_11		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
26271	P41691	group7_bins.409_contig_4307707_1		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
26272	P41693	group7_bins.409_contig_4307728_6		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
26273	P41699	group7_bins.409_contig_4307762_10		rank: C;small subunit ribosomal protein S1 (db=kegg)	K02945
26274	P41700	group7_bins.409_contig_4307762_9		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
26275	P41701	group7_bins.409_contig_4307765_16		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)	K01915
26276	P41704	group7_bins.409_contig_4307781_8		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	K01940
26277	P41705	group7_bins.409_contig_4307786_14		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
26278	P41706	group7_bins.409_contig_4307786_17		rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
26279	P41708	group7_bins.409_contig_4307786_27		rank: C;large subunit ribosomal protein L6 (db=kegg)	K02933
26280	P41709	group7_bins.409_contig_4307786_28		rank: C;small subunit ribosomal protein S8 (db=kegg)	K02994
26281	P41710	group7_bins.409_contig_4307786_35		rank: C;large subunit ribosomal protein L16 (db=kegg)	K02878
26282	P41713	group7_bins.409_contig_4307786_39		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
26283	P41714	group7_bins.409_contig_4307789_2		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
26284	P41715	group7_bins.409_contig_4307793_15		rank: C;cell division protein FtsZ (db=kegg)	K03531
26285	P41717	group7_bins.41_contig_629758_11		rank: C;bacterial microcompartment shell protein (db=kegg)	K27272
26286	P41718	group7_bins.41_contig_629772_5		rank: D;Bacterial extracellular solute-binding protein [PF13343.11] (db=pfam)	NA
26287	P41722	group7_bins.41_contig_629782_3		rank: D;Flavin reductase like domain [PF01613.23];Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)	NA
26288	P41724	group7_bins.41_contig_629794_30		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
26289	P41726	group7_bins.41_contig_629801_1		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
26290	P41727	group7_bins.41_contig_629806_4		rank: D;M42 glutamyl aminopeptidase [PF05343.19];Aminopeptidase I zinc metalloprotease (M18) [PF02127.20] (db=pfam)	NA
26291	P41728	group7_bins.41_contig_629824_11		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
26292	P41731	group7_bins.41_contig_629846_8		rank: E	NA
26293	P41732	group7_bins.41_contig_629849_6		rank: E	NA
26294	P41736	group7_bins.41_contig_629880_6		rank: C;methionyl-tRNA synthetase [EC:6.1.1.10] (db=kegg)	K01874
26295	P41737	group7_bins.426_contig_3875212_166		rank: C;F-type H+-transporting ATPase subunit c (db=kegg)	K02110
26296	P41739	group7_bins.426_contig_3875212_35		rank: C;threonine synthase [EC:4.2.3.1] (db=kegg)	K01733
26297	P41741	group7_bins.426_contig_3875213_31		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
26298	P41742	group7_bins.426_contig_3875213_33		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
26299	P41743	group7_bins.426_contig_3875213_36		rank: C;elongation factor Tu (db=kegg)	K02358
26300	P41745	group7_bins.426_contig_3875214_77		rank: E	NA
26301	P41746	group7_bins.426_contig_3875214_87		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)	K01610
26302	P41747	group7_bins.426_contig_3875214_88		rank: D;Response regulator receiver domain [PF00072.29];Transcriptional regulatory protein, C terminal [PF00486.33] (db=pfam)	NA
26303	P41749	group7_bins.426_contig_3875216_8		rank: D;PSP1 C-terminal conserved region [PF04468.17] (db=pfam)	NA
26304	P41750	group7_bins.426_contig_3875216_85		rank: C;UDPglucose 6-dehydrogenase [EC:1.1.1.22] (db=kegg)	K00012
26305	P41751	group7_bins.426_contig_3875217_108		rank: C;dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] (db=kegg)	K01710
26306	P41753	group7_bins.426_contig_3875219_16		rank: E	NA
26307	P41754	group7_bins.426_contig_3875220_27		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
26308	P41756	group7_bins.426_contig_3875220_8		rank: C;pectinesterase [EC:3.1.1.11] (db=kegg)	K01051
26309	P41757	group7_bins.426_contig_3875221_10		rank: C;enolase 1/2/3 [EC:4.2.1.11] (db=kegg)	K01689
26310	P41759	group7_bins.426_contig_3875222_86		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
26311	P41760	group7_bins.426_contig_3875224_111		rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)	K00239
26312	P41761	group7_bins.426_contig_3875224_133		rank: D;Gliding motility associated protein GldN [PF19841.4] (db=pfam)	NA
26313	P41762	group7_bins.426_contig_3875224_134		rank: D;GldM N-terminal domain [PF12081.13];GldM third domain [PF21602.2];GldM second domain [PF21601.2];GldM C-terminal domain [PF12080.13] (db=pfam)	NA
26314	P41764	group7_bins.426_contig_3875224_16		rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)	K03770
26315	P41765	group7_bins.426_contig_3875225_106		rank: E	NA
26316	P41768	group7_bins.426_contig_3875225_47		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
26317	P41769	group7_bins.426_contig_3875225_75		rank: C;rubrerythrin (db=kegg)	K19824
26318	P41770	group7_bins.426_contig_3875226_101		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
26319	P41771	group7_bins.426_contig_3875226_102		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
26320	P41772	group7_bins.426_contig_3875226_24		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
26321	P41773	group7_bins.426_contig_3875226_59		rank: D;Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.10];HlyD family secretion protein [PF13437.11] (db=pfam)	NA
26322	P41774	group7_bins.426_contig_3875229_43		rank: D;Domain of unknown function (DUF5018) [PF16410.10];DUF5018-related [PF22243.1] (db=pfam)	NA
26323	P41776	group7_bins.83_contig_3134524_33		rank: C;methyl-galactoside transport system substrate-binding protein (db=kegg)	K10540
26324	P41777	group7_bins.83_contig_3134526_19		rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)	K00925
26325	P41778	group7_bins.83_contig_3134526_50		rank: C;methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54] (db=kegg)	K00297
26326	P41779	group7_bins.83_contig_3134528_3		rank: D;Periplasmic binding protein domain [PF13407.11] (db=pfam)	NA
26327	P41780	group7_bins.83_contig_3134530_83		rank: C;ethanolamine utilization protein EutM (db=kegg)	K04027
26328	P41781	group7_bins.83_contig_3134530_86		rank: C;ethanolamine utilization protein EutL (db=kegg)	K04026
26329	P41783	group7_bins.83_contig_3134530_88		rank: C;ethanolamine ammonia-lyase large subunit [EC:4.3.1.7] (db=kegg)	K03735
26330	P41785	group7_bins.83_contig_3134536_1		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
26331	P41789	group7_bins.83_contig_3134546_14		rank: D;L-fucose isomerase, C-terminal domain [PF02952.22] (db=pfam)	NA
26332	P41791	group7_bins.83_contig_3134547_5		rank: C;maltose transport system substrate-binding protein (db=kegg)	K25086
26333	P41793	group7_bins.83_contig_3134554_100		rank: C;acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] (db=kegg)	K00194
26334	P41794	group7_bins.83_contig_3134554_101		rank: C;acetyl-CoA synthase [EC:2.3.1.169] (db=kegg)	K14138
26335	P41799	group7_bins.83_contig_3134555_14		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
26336	P41801	group7_bins.83_contig_3134556_19		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
26337	P41802	group7_bins.83_contig_3134556_21		rank: D;ABC transporter [PF00005.32];ABC transporter [PF12848.12] (db=pfam)	NA
26338	P41804	group7_bins.83_contig_3134556_37		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
26339	P41805	group7_bins.83_contig_3134556_39		rank: C;transcriptional pleiotropic repressor (db=kegg)	K03706
26340	P41809	group7_bins.83_contig_3134561_36		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)	K01610
26341	P41810	group7_bins.83_contig_3134568_32		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
26342	P41812	group7_bins.83_contig_3134572_37		rank: C;arabinooligosaccharide transport system substrate-binding protein (db=kegg)	K17234
26343	P41813	group7_bins.83_contig_3134572_44		rank: C;cellobiose phosphorylase [EC:2.4.1.20] (db=kegg)	K00702
