"Protein"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"SCORE_neg_log10_p"	"Protein"	"Indistinguishable.Proteins"	"Description"
"1005"	"P40186"	12.2798670255766	14.7064327705328	2.42656574495622	0.0401968229260498	1.3958082712989	"group4_bins.25_contig_1062482_1"	""	"rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)"
"1006"	"P40211"	6.07487808114729	7.55787591124606	1.48299783009877	0.0375584265747467	1.42529260980897	"group4_bins.25_contig_1062492_28"	""	"rank: C;heat shock protein HslJ (db=kegg)"
"1007"	"P40233"	13.8381307905967	16.014194694316	2.17606390371932	0.0399395879694806	1.39859641977338	"group4_bins.25_contig_1062506_4"	""	"rank: C;large subunit ribosomal protein L20 (db=kegg)"
"1008"	"P40270"	6.67720778598029	9.41893377147901	2.74172598549871	0.0112168801589039	1.95012792010158	"group4_bins.25_contig_1062523_15"	""	"rank: C;rubrerythrin (db=kegg)"
"1009"	"P40305"	7.29860322277758	9.56125238729484	2.26264916451726	0.0326898595535081	1.48558694528893	"group4_bins.25_contig_1062537_5"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"1010"	"P40306"	7.17283978116104	9.86287318825481	2.69003340709376	0.0154665353977332	1.81060696013129	"group4_bins.25_contig_1062537_6"	""	"rank: D;Domain of unknown function (DUF4957) [PF16318.10];Domain of unknown function (DUF5123) [PF17161.9] (db=pfam)"
"1011"	"P40313"	8.42386653556334	11.1512102062763	2.72734367071293	0.0268053064911974	1.57177922269815	"group4_bins.25_contig_1062542_7"	""	"rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)"
"1012"	"P40326"	5.65264208096598	6.96796082271793	1.31531874175194	0.0221306863891763	1.65500511610397	"group4_bins.25_contig_1062553_23"	""	"rank: D;Inner membrane component of T3SS, cytoplasmic domain [PF16697.10];FHA domain [PF00498.31] (db=pfam)"
"1013"	"P40341"	6.9587118678173	8.88360321056632	1.92489134274902	0.0486843169396451	1.31261091893947	"group4_bins.25_contig_1062563_2"	""	"rank: D;Domain of unknown function [PF16377.10];Domain of unknown function (DUF4302) [PF14135.11] (db=pfam)"
"1014"	"P40361"	13.1359813717208	15.4451442756795	2.30916290395867	0.0080262942080625	2.0954849250163	"group4_bins.25_contig_1062582_1"	""	"rank: C;asparaginyl-tRNA synthetase [EC:6.1.1.22] (db=kegg)"
"1015"	"P40421"	12.8550768493376	15.4410576162466	2.58598076690898	0.0188844113853294	1.72389654729858	"group4_bins.261_contig_4368614_11"	""	"rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)"
"1016"	"P40445"	12.743100443995	14.7077535583277	1.96465311433266	0.035275021941523	1.45253270743671	"group4_bins.272_contig_5364593_25"	""	"rank: C;NADH oxidase (H2O-forming) [EC:1.6.3.4] (db=kegg)"
"1017"	"P40493"	5.93484792465298	7.20188773258823	1.26703980793525	0.0356032848149439	1.44850993148799	"group4_bins.47_contig_5578107_17"	""	"rank: C;LemA protein (db=kegg)"
"1018"	"P40570"	6.02341076356917	7.48060598777122	1.45719522420206	0.0246576655945633	1.60804804158411	"group4_bins.47_contig_5578234_18"	""	"rank: C;alpha-amylase [EC:3.2.1.1] (db=kegg)"
"1019"	"P40587"	7.05341948563794	5.93485401248949	-1.11856547314845	0.0494840767461821	1.30553452821354	"group4_bins.47_contig_5578261_3"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"1020"	"P4059"	12.7912466613356	8.59720902267637	-4.19403763865924	0.000402631018820935	3.39509276997435	"947_SemiBin_204_contig_1162486_3"	""	"rank: E"
"1021"	"P4062"	9.65026811008015	6.8798060266653	-2.77046208341485	0.00914653326421361	2.03874348183638	"947_SemiBin_204_contig_1162491_16"	""	"rank: D;Domain of unknown function (DUF4957) [PF16318.10] (db=pfam)"
"1022"	"P40643"	6.31956509963127	8.94474015250938	2.6251750528781	0.00767168215124193	2.11510939890586	"group6_bins.106_contig_5179501_3"	""	"rank: D;Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.26];Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.23] (db=pfam)"
"1023"	"P40644"	5.90608711687362	7.15623517823321	1.25014806135959	0.028531094508283	1.54468156764225	"group6_bins.106_contig_5179502_11"	""	"rank: E"
"1024"	"P40658"	5.72144389608262	7.01795658339647	1.29651268731385	0.0394517070822978	1.40393420004944	"group6_bins.106_contig_5179528_7"	""	"rank: E"
"1025"	"P40675"	5.85898519766517	7.68366092173503	1.82467572406986	0.0238927419770246	1.62173400691994	"group6_bins.106_contig_5179534_2"	""	"rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)"
"1026"	"P40698"	5.83776271825991	7.49383245780672	1.65606973954681	0.0261395490064451	1.58270190970505	"group6_bins.106_contig_5179569_6"	""	"rank: E"
"1027"	"P40700"	5.85385055884714	7.0946694524816	1.24081889363446	0.0345519280468023	1.46152771336289	"group6_bins.106_contig_5179570_2"	""	"rank: C;tellurium resistance protein TerD (db=kegg)"
"1028"	"P40712"	6.75358446698916	9.39695512076073	2.64337065377157	0.011683511916324	1.9324265941561	"group6_bins.106_contig_5179594_9"	""	"rank: C;uncharacterized protein (db=kegg)"
"1029"	"P40724"	7.03807927740984	9.43753490252233	2.3994556251125	0.0254198599624004	1.59482684629674	"group6_bins.106_contig_5179601_8"	""	"rank: C;protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15] (db=kegg)"
"1030"	"P40731"	6.83885953472853	9.40181105059736	2.56295151586883	0.0166126767554417	1.77956038522125	"group6_bins.106_contig_5179610_20"	""	"rank: E"
"1031"	"P40734"	5.92806533349769	8.11621081604232	2.18814548254462	0.00402467696863799	2.39526897153659	"group6_bins.106_contig_5179618_3"	""	"rank: D;Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.11];Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11];NAD(P)-binding Rossmann-like domain [PF13450.11];FAD binding domain [PF00890.29] (db=pfam)"
"1032"	"P40735"	6.21854408980973	7.87994694450761	1.66140285469789	0.0452622795251653	1.34426357763999	"group6_bins.106_contig_5179619_26"	""	"rank: E"
"1033"	"P40742"	6.05115621999053	7.37433951711853	1.32318329712799	0.0380788722558554	1.41931592216549	"group6_bins.106_contig_5179633_3"	""	"rank: E"
"1034"	"P40766"	6.51270810249878	8.95411244270442	2.44140434020564	0.0149893912128462	1.82421600546197	"group6_bins.106_contig_5179656_22"	""	"rank: D;5'-nucleotidase, C-terminal domain [PF02872.23] (db=pfam)"
"1035"	"P40805"	7.75502326608775	6.27787519412029	-1.47714807196745	0.0293354931589381	1.5326066064623	"group6_bins.237_contig_5427476_9"	""	"rank: E"
"1036"	"P40816"	5.86907755013759	7.29185320291056	1.42277565277297	0.0194557295047595	1.71095248041142	"group6_bins.257_contig_3848345_12"	""	"rank: C;pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] (db=kegg)"
"1037"	"P40864"	6.98096271372957	5.56951977371811	-1.41144294001146	0.0199943497661902	1.69909271493868	"group6_bins.257_contig_3848374_37"	""	"rank: E"
"1038"	"P40909"	5.88499086984677	7.32441980880791	1.43942893896114	0.0370825978267054	1.43082984889962	"group6_bins.257_contig_3848409_10"	""	"rank: C;branched-chain amino acid aminotransferase [EC:2.6.1.42] (db=kegg)"
"1039"	"P4092"	7.17417428351649	5.91409142971968	-1.2600828537968	0.0214061933760505	1.66946055562754	"947_SemiBin_204_contig_1162509_21"	""	"rank: C;small subunit ribosomal protein S3 (db=kegg)"
"1040"	"P41003"	8.32847237010589	6.44028175634137	-1.88819061376452	0.0321908082415097	1.49226811898319	"group6_bins.304_contig_2563977_10"	""	"rank: C;putative aldouronate transport system permease protein (db=kegg)"
"1041"	"P41024"	13.7948266011432	16.7282599787802	2.933433377637	0.0164605375217037	1.78355598693066	"group6_bins.304_contig_2563992_24"	""	"rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)"
"1042"	"P41029"	5.80556462551517	7.05270863213125	1.24714400661607	0.0338102505706318	1.4709516106291	"group6_bins.304_contig_2563996_114"	""	"rank: C;methyl-galactoside transport system substrate-binding protein (db=kegg)"
"1043"	"P41038"	14.5277902435948	15.9397135109737	1.41192326737891	0.0361585302701205	1.44178923053486	"group6_bins.56_contig_4161396_12"	""	"rank: C;large subunit ribosomal protein L1 (db=kegg)"
"1044"	"P41039"	7.29135124390954	6.02852827667873	-1.26282296723081	0.0383479467213509	1.41625788468657	"group6_bins.56_contig_4161396_13"	""	"rank: C;large subunit ribosomal protein L10 (db=kegg)"
"1045"	"P41085"	7.08429923484224	5.8752137459472	-1.20908548889505	0.0285350840950152	1.544620843215	"group6_bins.9_contig_3986416_6"	""	"rank: C;recombination protein RecA (db=kegg)"
"1046"	"P4109"	7.13685542509525	5.99194476564995	-1.1449106594453	0.0473753285723315	1.32444776495726	"947_SemiBin_204_contig_1162519_3"	""	"rank: C;large subunit ribosomal protein L25 (db=kegg)"
"1047"	"P41157"	7.37349845901234	5.91596207789903	-1.45753638111331	0.0222855577860611	1.65197649146891	"group7_bins.169_contig_5961607_25"	""	"rank: D;FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.33];CAF1 family ribonuclease [PF04857.25];Helicobacter pylori protein of unknown function (DUF874) [PF05917.16];Domain amino terminal to FKBP-type peptidyl-prolyl isomerase [PF01346.23] (db=pfam)"
"1048"	"P41185"	7.4565303828232	5.78442779002495	-1.67210259279825	0.030590445030628	1.5144142048414	"group7_bins.169_contig_5961636_1"	""	"rank: E"
"1049"	"P41270"	6.73251471529845	8.68246738625514	1.94995267095669	0.0414487077843716	1.38248900457969	"group7_bins.231_contig_891194_13"	""	"rank: D;Outer membrane protein beta-barrel domain [PF13568.11];Outer membrane protein beta-barrel domain [PF13505.11] (db=pfam)"
"1050"	"P41279"	5.93019628066582	7.76425699956007	1.83406071889425	0.0101585210892732	1.99316951346139	"group7_bins.231_contig_891204_1"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"1051"	"P413"	5.7532637667402	7.11807839605321	1.36481462931301	0.0483370431407316	1.3157199196491	"932_SemiBin_172_contig_661113_245"	""	"rank: E"
"1052"	"P41312"	12.549547828985	14.9252907399064	2.37574291092147	0.0276988236108103	1.55753867534648	"group7_bins.231_contig_891240_2"	""	"rank: D;TonB dependent receptor-like, beta-barrel [PF00593.29];CarboxypepD_reg-like domain [PF13715.11];TonB-dependent Receptor Plug Domain [PF07715.20];CS1-pili formation C-terminal [PF15976.10];Carboxypeptidase regulatory-like domain [PF13620.11] (db=pfam)"
"1053"	"P41324"	7.07058240534755	5.9939685062901	-1.07661389905745	0.0312301066815683	1.50542653222394	"group7_bins.231_contig_891248_7"	""	"rank: C;recombination protein RecA (db=kegg)"
"1054"	"P41347"	5.8772451139312	7.02145997198358	1.14421485805238	0.0285248549955048	1.5447765546157	"group7_bins.231_contig_891280_6"	""	"rank: C;SecD/SecF fusion protein (db=kegg)"
"1055"	"P41367"	7.47569980683674	9.7144577181472	2.23875791131046	0.039506798430772	1.40332816343894	"group7_bins.260_contig_5058138_1"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"1056"	"P41434"	6.87781702313523	5.81589226053315	-1.06192476260207	0.0245243745043892	1.610402060513	"group7_bins.282_contig_1678208_240"	""	"rank: D;Starch-binding associating with outer membrane [PF12771.12];Susd and RagB outer membrane lipoprotein [PF12741.12];Starch-binding associating with outer membrane [PF14322.11] (db=pfam)"
"1057"	"P41443"	10.7001710883761	13.3294024786979	2.62923139032181	0.0281457358652545	1.55058739230342	"group7_bins.282_contig_1678215_38"	""	"rank: C;small subunit ribosomal protein S3 (db=kegg)"
"1058"	"P41453"	7.74261824167303	6.14230804494525	-1.60031019672779	0.0227831387977262	1.64238644405729	"group7_bins.282_contig_1678219_6"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"1059"	"P415"	14.0413106907153	11.4570234652693	-2.58428722544607	0.0183764945195794	1.73573733059956	"932_SemiBin_172_contig_661113_29"	"956_SemiBin_187_contig_5944759_24, MEGAHIT-MetaBAT2-S957.66_contig_2890081_11, MEGAHIT-MetaBAT2-S959.110_contig_6841434_5, MEGAHIT-MetaBAT2-S979.51_contig_4518104_18, MEGAHIT-MetaBAT2-S979.94_contig_4634404_3"	"rank: C;small subunit ribosomal protein S11 (db=kegg)"
"1060"	"P41510"	7.28412101349813	5.83052934379775	-1.45359166970038	0.0373522029691515	1.42768377914624	"group7_bins.365_contig_3582113_8"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"1061"	"P41515"	6.30956131638728	8.02648521823165	1.71692390184437	0.0389048673668463	1.40999606092816	"group7_bins.369_contig_6534206_9"	""	"rank: C;GTP-binding protein (db=kegg)"
"1062"	"P41525"	13.9087157870067	10.8615718370865	-3.04714394992021	0.0106409493543191	1.97301962383143	"group7_bins.369_contig_6534209_8"	""	"rank: C;elongation factor Tu (db=kegg)"
"1063"	"P41581"	6.91062689876625	5.83663751705913	-1.07398938170712	0.0443934397365736	1.35268120323466	"group7_bins.369_contig_6534235_7"	""	"rank: C;D-alanine-D-alanine ligase [EC:6.3.2.4] (db=kegg)"
"1064"	"P41619"	7.42203388270632	5.7907314551927	-1.63130242751362	0.0113056406497214	1.94670482272548	"group7_bins.370_contig_4873606_47"	""	"rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)"
"1065"	"P41630"	8.56307221877932	6.39764532951235	-2.16542688926696	0.0123231715553748	1.90927750550462	"group7_bins.370_contig_4873636_14"	""	"rank: C;small subunit ribosomal protein S13 (db=kegg)"
"1066"	"P41764"	6.80113548145167	9.4357411635856	2.63460568213393	0.0197055334007835	1.70541180490487	"group7_bins.426_contig_3875224_16"	""	"rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)"
"1067"	"P41802"	6.35049755676182	8.61965912047287	2.26916156371105	0.0166042830046051	1.77977987308375	"group7_bins.83_contig_3134556_21"	""	"rank: D;ABC transporter [PF00005.32];ABC transporter [PF12848.12] (db=pfam)"
"1068"	"P41815"	7.28542037677637	5.95195332758085	-1.33346704919552	0.0175962400697835	1.7545801214695	"group7_bins.83_contig_3134574_30"	""	"rank: C;maltose transport system substrate-binding protein (db=kegg)"
"1069"	"P4189"	6.95433679470444	5.63150339295402	-1.32283340175042	0.00703128584113538	2.15296524643892	"947_SemiBin_204_contig_1162575_31"	""	"rank: D;Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)"
"1070"	"P41897"	10.1277414023928	13.0067238801367	2.87898247774385	0.0111632323573583	1.95221003553218	"group8_bins.18_contig_291477_8"	""	"rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)"
"1071"	"P41933"	10.173691715364	7.50139507508733	-2.67229664027671	0.0171468880452823	1.76581468771423	"group8_bins.18_contig_291503_3"	""	"rank: C;acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17] (db=kegg)"
"1072"	"P41955"	6.28631628954085	7.8680946875181	1.58177839797725	0.0307017602980735	1.51283672335593	"group8_bins.18_contig_291517_17"	""	"rank: C;competence protein ComEC (db=kegg)"
"1073"	"P41959"	13.1774861979634	15.0245303841932	1.84704418622973	0.0396110791507582	1.40218332566349	"group8_bins.18_contig_291520_30"	""	"rank: D;Conserved region in glutamate synthase [PF01645.22];4Fe-4S dicluster domain [PF13187.11];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF14697.11];4Fe-4S double cluster binding domain [PF13484.11];4Fe-4S dicluster domain [PF13183.11] (db=pfam)"
"1074"	"P4202"	15.0338493416861	16.2432904736749	1.20944113198883	0.0489085366345395	1.31061533127097	"947_SemiBin_8_contig_4470167_11"	"MEGAHIT-MetaBAT2-S951.163_contig_4275136_3"	"rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)"
"1075"	"P42020"	5.79129413164191	7.83114475094075	2.03985061929884	0.00754842640352547	2.12214357492634	"group8_bins.259_contig_4892482_1"	""	"rank: C;enolase 1/2/3 [EC:4.2.1.11] (db=kegg)"
"1076"	"P42102"	7.63313536823697	6.21149571762374	-1.42163965061323	0.0283909029552301	1.54682079478525	"group8_bins.65_contig_6986640_16"	""	"rank: C;small subunit ribosomal protein S8 (db=kegg)"
"1077"	"P42157"	7.05553053626292	5.89613066239054	-1.15939987387237	0.0334594236708572	1.47548154390925	"group9_bins.202_contig_6964764_10"	""	"rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)"
"1078"	"P42236"	7.48717567167983	11.9229311123643	4.43575544068442	0.00184302191424374	2.73446950082078	"group9_bins.244_contig_1379187_7"	""	"rank: E"
"1079"	"P42238"	6.03586506007096	7.4753831772332	1.43951811716224	0.0271524560110135	1.56619088122101	"group9_bins.244_contig_1379187_80"	""	"rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)"
"1080"	"P42243"	7.59179857459009	10.2561134916962	2.66431491710611	0.0183115925738646	1.73727388311698	"group9_bins.244_contig_1379197_2"	""	"rank: E"
"1081"	"P42325"	14.6886061927056	16.4359724439424	1.7473662512368	0.0285668036170166	1.54413835076711	"group9_bins.264_contig_5619651_55"	""	"rank: C;methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2] (db=kegg)"
"1082"	"P42331"	13.5666066982605	14.9355835421332	1.3689768438727	0.0249566912451832	1.6028129938779	"group9_bins.264_contig_5619652_100"	""	"rank: D;Flotillin-like protein FloA [PF12127.13] (db=pfam)"
"1083"	"P42352"	11.8284921258687	14.1111567795719	2.28266465370322	0.0355295364410966	1.44941045877544	"group9_bins.264_contig_5619664_3"	""	"rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)"
"1084"	"P42367"	6.25811769706429	7.89994827960611	1.64183058254183	0.0281805678489895	1.55005025994213	"group9_bins.264_contig_5619678_10"	""	"rank: C;uncharacterized protein (db=kegg)"
"1085"	"P42375"	5.59572113837569	7.08992981488363	1.49420867650794	0.0218869841323155	1.65981407693952	"group9_bins.264_contig_5619682_22"	""	"rank: C;large subunit ribosomal protein L5 (db=kegg)"
"1086"	"P42386"	7.51245684654726	9.88611192885114	2.37365508230388	0.0457110571883819	1.33997873439277	"group9_bins.264_contig_5619682_42"	""	"rank: C;transketolase [EC:2.2.1.1] (db=kegg)"
"1087"	"P42397"	13.3015683326144	15.303468452645	2.00190012003059	0.0385899500275741	1.41352578382204	"group9_bins.264_contig_5619684_33"	""	"rank: C;two-component system, chemotaxis family, chemotaxis protein CheV (db=kegg)"
"1088"	"P42433"	9.53699776207296	12.337683110276	2.80068534820309	0.0115911421026277	1.93587376986628	"group9_bins.268_contig_3174372_9"	""	"rank: C;butyryl-CoA dehydrogenase [EC:1.3.8.1] (db=kegg)"
"1089"	"P42456"	10.9604533561527	13.4889685213668	2.52851516521404	0.0346699860912179	1.46004633257229	"group9_bins.268_contig_3174464_16"	""	"rank: D;Periplasmic binding protein domain [PF13407.11];Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26] (db=pfam)"
"1090"	"P42475"	7.8285679287941	6.1270412143962	-1.7015267143979	0.02530165047821	1.59685114798625	"group9_bins.348_contig_6928317_5"	""	"rank: C;NitT/TauT family transport system substrate-binding protein (db=kegg)"
"1091"	"P42476"	7.07328029144415	6.06726412157738	-1.00601616986677	0.0327179834207152	1.48521347200086	"group9_bins.348_contig_6928317_7"	""	"rank: C;NitT/TauT family transport system permease protein (db=kegg)"
"1092"	"P42482"	5.90171121014103	7.29486036360851	1.39314915346748	0.0384505935097915	1.41509695219446	"group9_bins.348_contig_6928329_29"	""	"rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)"
"1093"	"P42492"	7.84122110689853	6.32274217653566	-1.51847893036287	0.0421333389363892	1.37537412301912	"group9_bins.348_contig_6928334_34"	""	"rank: C;glycerol uptake facilitator (db=kegg)"
"1094"	"P42506"	6.94699862843259	9.38352494705303	2.43652631862044	0.0131255845110623	1.88188134740569	"group9_bins.348_contig_6928386_3"	""	"rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)"
"1095"	"P42507"	8.29952301596092	10.8802027907306	2.58067977476972	0.0224118216577842	1.64952284209187	"group9_bins.348_contig_6928390_27"	""	"rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)"
"1096"	"P42552"	6.63677893984026	5.61714312408441	-1.01963581575585	0.0303864168933455	1.51732050805405	"group9_bins.40_contig_1381756_27"	""	"rank: C;rubrerythrin (db=kegg)"
"1097"	"P42573"	9.09407719387333	7.07210076279178	-2.02197643108155	0.0364700133490838	1.4380640777218	"group9_bins.40_contig_1381812_15"	""	"rank: C;deoxyribose-phosphate aldolase [EC:4.1.2.4] (db=kegg)"
"1098"	"P42579"	10.119551776159	7.59802641099877	-2.52152536516024	0.0265684696040258	1.57563346108346	"group9_bins.52_contig_6008544_5"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"1099"	"P42585"	12.0500449469351	9.08228749475793	-2.96775745217718	0.0320237966858808	1.49452718016252	"group9_bins.52_contig_6008545_4"	""	"rank: E"
"1100"	"P42617"	7.07409217838448	5.81514026430831	-1.25895191407618	0.0268419686615493	1.57118563501968	"group9_bins.67_contig_2480458_1"	""	"rank: D;SAICAR synthetase [PF01259.23] (db=pfam)"
"1101"	"P42657"	7.80773624783367	6.18777272177003	-1.61996352606364	0.0406611643981205	1.39082018879592	"group9_bins.80_contig_1191557_1"	""	"rank: C;elongation factor G (db=kegg)"
"1102"	"P42659"	7.62460989266049	6.04369170596623	-1.58091818669426	0.0341971730587015	1.46600979381962	"group9_bins.80_contig_1191578_1"	""	"rank: C;small subunit ribosomal protein S2 (db=kegg)"
"1103"	"P4323"	11.157309161302	14.0336292096331	2.87632004833111	0.014926950125867	1.82602891825037	"947_SemiBin_8_contig_4470428_8"	""	"rank: C;HSP20 family protein (db=kegg)"
"1104"	"P4640"	7.32159434564947	5.60821878136329	-1.71337556428618	0.00819131778268527	2.08664622525898	"947_SemiBin_9_contig_1846786_24"	"986_SemiBin_166_contig_1142857_20, MEGAHIT-MetaBAT2-S973.125_contig_3453313_12"	"rank: D;IreB regulatory phosphoprotein [PF06135.17] (db=pfam)"
"1105"	"P5056"	7.10882300928366	5.94925947169267	-1.15956353759099	0.0348338508921571	1.45799851150882	"947_SemiBin_9_contig_1846856_1"	""	"rank: E"
"1106"	"P508"	7.32710632737345	5.80713611078449	-1.51997021658896	0.0137616112646536	1.8613307141833	"932_SemiBin_216_contig_6775423_1"	"935_SemiBin_76_contig_5163407_12, MEGAHIT-MetaBAT2-S955.109_contig_2164671_12, MEGAHIT-MetaBAT2-S970.51_contig_6451668_4, MEGAHIT-MetaBAT2-S983.33_contig_5576719_14"	"rank: C;cell division protein FtsZ (db=kegg)"
"1107"	"P5200"	5.93352498744605	7.52132983424162	1.58780484679557	0.0220656966254207	1.65628235709962	"948_SemiBin_209_contig_3427028_25"	""	"rank: C;cysteine synthase [EC:2.5.1.47] (db=kegg)"
"1108"	"P529"	13.0989313263304	15.2515401465665	2.15260882023614	0.0257109850099977	1.58988128484247	"932_SemiBin_237_contig_3195432_8"	""	"rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)"
"1109"	"P5417"	6.90653530111303	9.14485866578951	2.23832336467648	0.0495837805907205	1.30466036286282	"950_SemiBin_52_contig_2899165_10"	""	"rank: C;type IV pilus assembly protein PilM (db=kegg)"
"1110"	"P5431"	7.17024747015046	5.77846837604481	-1.39177909410565	0.0196525413875721	1.70658128044213	"950_SemiBin_52_contig_2899178_12"	""	"rank: C;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (db=kegg)"
"1111"	"P5492"	13.6520893514688	15.1832222647235	1.53113291325472	0.0464182663145266	1.33331108413204	"950_SemiBin_52_contig_2899265_86"	"MEGAHIT-MetaBAT2-S954.88_contig_2519104_25"	"rank: C;large subunit ribosomal protein L22 (db=kegg)"
"1112"	"P5530"	6.0605107636561	8.56507481938718	2.50456405573108	0.00215551080263457	2.66644979627897	"951_SemiBin_94_contig_3789200_10"	""	"rank: C;small subunit ribosomal protein S7 (db=kegg)"
"1113"	"P5943"	15.2618156577818	16.9457337938506	1.68391813606879	0.038954675852007	1.40944040513276	"953_SemiBin_322_contig_357603_56"	""	"rank: C;large subunit ribosomal protein L6 (db=kegg)"
"1114"	"P5963"	15.2929007152348	16.6669896882156	1.37408897298083	0.0488193214716781	1.31140826103423	"953_SemiBin_322_contig_357603_82"	""	"rank: C;large subunit ribosomal protein L10 (db=kegg)"
"1115"	"P6012"	14.1145437038102	15.6595901291946	1.5450464253844	0.0302836642810127	1.51879157696777	"953_SemiBin_322_contig_357606_40"	""	"rank: C;small subunit ribosomal protein S2 (db=kegg)"
"1116"	"P6095"	6.08496933118012	7.49853123095408	1.41356189977395	0.0402693201583434	1.39502570225183	"954_SemiBin_221_contig_1002670_16"	""	"rank: D;OmpA family [PF00691.25] (db=pfam)"
"1117"	"P6230"	9.38518515797662	7.15025168220369	-2.23493347577293	0.0287181765741176	1.54184313855713	"955_SemiBin_146_contig_875470_1"	""	"rank: E"
"1118"	"P6356"	10.7083156832191	7.93738597169097	-2.77092971152814	0.0327351719862123	1.48498537301091	"955_SemiBin_256_contig_4164773_90"	""	"rank: C;flagellin (db=kegg)"
"1119"	"P640"	13.4010718509575	15.3174119727207	1.91634012176318	0.0491936265399711	1.30809116019646	"932_SemiBin_237_contig_3195445_22"	"MEGAHIT-MetaBAT2-S962.80_contig_4191415_2"	"rank: D;Amino acid kinase family [PF00696.33];ACT domain [PF22468.1] (db=pfam)"
"1120"	"P6573"	7.42690350193836	5.96533602178671	-1.46156748015165	0.022727554000323	1.64344730168477	"956_SemiBin_187_contig_5944684_3"	""	"rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2] (db=kegg)"
"1121"	"P6677"	12.1533917423493	14.4406747880433	2.28728304569394	0.0484627520096693	1.31459192761746	"956_SemiBin_215_contig_4668609_31"	""	"rank: C;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (db=kegg)"
"1122"	"P668"	6.60603888432296	8.54903417340027	1.94299528907731	0.0363474408719807	1.43952616126443	"932_SemiBin_237_contig_3195450_17"	"MEGAHIT-MetaBAT2-S962.80_contig_4191074_3"	"rank: C;vancomycin resistance protein VanJ (db=kegg)"
"1123"	"P6681"	6.54594307449516	8.33781427628246	1.7918712017873	0.044672600940183	1.34995876118195	"956_SemiBin_215_contig_4668615_20"	""	"rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)"
"1124"	"P6683"	10.9744610550302	8.09770477998353	-2.87675627504669	0.0161553126309396	1.79168463327752	"956_SemiBin_215_contig_4668615_38"	""	"rank: C;carbohydrate diacid regulator (db=kegg)"
"1125"	"P6685"	11.0540196789328	13.696423947991	2.64240426905814	0.0279297942506415	1.55393226358794	"956_SemiBin_215_contig_4668616_16"	""	"rank: D;3-hydroxyacyl-CoA dehydrogenase, NAD binding domain [PF02737.23];3-hydroxyacyl-CoA dehydrogenase, C-terminal domain [PF00725.27] (db=pfam)"
