Protein	Indistinguishable.Proteins	Description
42071	group8_bins.322_contig_3530779_15		rank: C;glycine reductase complex component B subunit alpha and beta [EC:1.21.4.2] (db=kegg)
42072	group8_bins.322_contig_3530779_16		rank: C;glycine reductase complex component B subunit gamma [EC:1.21.4.2] (db=kegg)
42073	group8_bins.322_contig_3530781_13		rank: C;F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1] (db=kegg)
42074	group8_bins.322_contig_3530795_1		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
42075	group8_bins.322_contig_3530811_2		rank: C;molecular chaperone DnaK (db=kegg)
42076	group8_bins.322_contig_3530834_5		rank: D;Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.27];Pyridine nucleotide-disulphide oxidoreductase [PF00070.32];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11] (db=pfam)
42077	group8_bins.322_contig_3530864_2		rank: C;recombination protein RecA (db=kegg)
42078	group8_bins.322_contig_3530871_2		rank: C;ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100] (db=kegg)
42079	group8_bins.322_contig_3530874_6		rank: C;peptide/nickel transport system ATP-binding protein (db=kegg)
42080	group8_bins.322_contig_3530875_15		rank: C;6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (db=kegg)
42081	group8_bins.65_contig_6986529_4		rank: C;BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15] (db=kegg)
42082	group8_bins.65_contig_6986533_10		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
42083	group8_bins.65_contig_6986533_20		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
42084	group8_bins.65_contig_6986537_12		rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24] (db=pfam)
42085	group8_bins.65_contig_6986539_1		rank: D;ABC transporter [PF00005.32] (db=pfam)
42086	group8_bins.65_contig_6986540_2		rank: C;glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33] (db=kegg)
42087	group8_bins.65_contig_6986542_2		rank: C;cysteine desulfurase [EC:2.8.1.7] (db=kegg)
42088	group8_bins.65_contig_6986545_26		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)
42089	group8_bins.65_contig_6986549_9		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)
42090	group8_bins.65_contig_6986552_44		rank: C;molecular chaperone DnaK (db=kegg)
42091	group8_bins.65_contig_6986558_7		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)
42092	group8_bins.65_contig_6986569_8		rank: C;xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4] (db=kegg)
42093	group8_bins.65_contig_6986573_13		rank: D;Radical SAM superfamily [PF04055.26];4Fe-4S single cluster domain [PF13353.11] (db=pfam)
42094	group8_bins.65_contig_6986583_8		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
42095	group8_bins.65_contig_6986590_18		rank: C;O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49] (db=kegg)
42096	group8_bins.65_contig_6986598_3		rank: C;sirohydrochlorin cobaltochelatase [EC:4.99.1.3] (db=kegg)
42097	group8_bins.65_contig_6986602_20		rank: C;small subunit ribosomal protein S15 (db=kegg)
42098	group8_bins.65_contig_6986602_48		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
42099	group8_bins.65_contig_6986605_26		rank: D;Aconitase family (aconitate hydratase) [PF00330.25];Aconitase C-terminal domain [PF00694.24] (db=pfam)
42100	group8_bins.65_contig_6986617_10		rank: C;2-dehydro-3-deoxygluconokinase [EC:2.7.1.45] (db=kegg)
42101	group8_bins.65_contig_6986629_1		rank: C;elongation factor Tu (db=kegg)
42102	group8_bins.65_contig_6986640_16		rank: C;small subunit ribosomal protein S8 (db=kegg)
42103	group8_bins.65_contig_6986645_8		rank: D;MutS domain V [PF00488.26] (db=pfam)
42104	group9_bins.155_contig_7048683_20		rank: C;large subunit ribosomal protein L6 (db=kegg)
42105	group9_bins.155_contig_7048683_24		rank: C;large subunit ribosomal protein L5 (db=kegg)
42106	group9_bins.155_contig_7048683_30		rank: C;small subunit ribosomal protein S3 (db=kegg)
42107	group9_bins.155_contig_7048683_32		rank: C;small subunit ribosomal protein S19 (db=kegg)
42108	group9_bins.155_contig_7048684_6		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
42109	group9_bins.155_contig_7048685_13		rank: C;rubrerythrin (db=kegg)
42110	group9_bins.155_contig_7048695_5		rank: C;beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3] (db=kegg)
42111	group9_bins.155_contig_7048708_4		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)
42112	group9_bins.155_contig_7048713_25		rank: C;maltose transport system substrate-binding protein (db=kegg)
42113	group9_bins.155_contig_7048715_7		rank: C;acetyl-CoA C-acetyltransferase [EC:2.3.1.9] (db=kegg)
42114	group9_bins.155_contig_7048716_21		rank: C;elongation factor Tu (db=kegg)
42115	group9_bins.155_contig_7048722_3		rank: C;basic membrane protein A and related proteins (db=kegg)
42116	group9_bins.155_contig_7048729_2		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)
42117	group9_bins.155_contig_7048740_5		rank: C;germination protein M (db=kegg)
42118	group9_bins.155_contig_7048742_5		rank: C;tetracycline resistance efflux pump (db=kegg)
42119	group9_bins.155_contig_7048755_17		rank: C;transketolase [EC:2.2.1.1] (db=kegg)
42120	group9_bins.155_contig_7048766_1		rank: C;anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] (db=kegg)
42121	group9_bins.155_contig_7048770_5		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
42122	group9_bins.155_contig_7048771_5		rank: C;spore coat protein JB (db=kegg)
42123	group9_bins.155_contig_7048773_6		rank: C;L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11] (db=kegg)
42124	group9_bins.155_contig_7048773_7		rank: C;3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247] (db=kegg)
42125	group9_bins.155_contig_7048775_4		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)
42126	group9_bins.155_contig_7048796_9		rank: D;Electron transfer flavoprotein FAD-binding domain [PF00766.24] (db=pfam)
42127	group9_bins.202_contig_6964702_4		rank: C;transketolase [EC:2.2.1.1] (db=kegg)
42128	group9_bins.202_contig_6964709_5		rank: C;serine protease Do [EC:3.4.21.107] (db=kegg)
42129	group9_bins.202_contig_6964710_6		rank: E
42130	group9_bins.202_contig_6964710_7		rank: C;biopolymer transport protein ExbB (db=kegg)
42131	group9_bins.202_contig_6964711_9		rank: C;aldose 1-epimerase [EC:5.1.3.3] (db=kegg)
42132	group9_bins.202_contig_6964715_3		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
42133	group9_bins.202_contig_6964715_4		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
42134	group9_bins.202_contig_6964724_2		rank: C;small subunit ribosomal protein S2 (db=kegg)
42135	group9_bins.202_contig_6964724_3		rank: C;small subunit ribosomal protein S9 (db=kegg)
42136	group9_bins.202_contig_6964729_13		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G (db=kegg)
42137	group9_bins.202_contig_6964733_16		rank: E
42138	group9_bins.202_contig_6964733_18		rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)
42139	group9_bins.202_contig_6964734_2		rank: C;small subunit ribosomal protein S1 (db=kegg)
42140	group9_bins.202_contig_6964743_5		rank: C;large subunit ribosomal protein L25 (db=kegg)
42141	group9_bins.202_contig_6964743_8		rank: C;preprotein translocase subunit YajC (db=kegg)
42142	group9_bins.202_contig_6964748_14		rank: C;large subunit ribosomal protein L4 (db=kegg)
42143	group9_bins.202_contig_6964748_18		rank: C;large subunit ribosomal protein L22 (db=kegg)
42144	group9_bins.202_contig_6964748_19		rank: C;small subunit ribosomal protein S3 (db=kegg)
42145	group9_bins.202_contig_6964748_2		rank: C;endo-1,4-beta-xylanase [EC:3.2.1.8] (db=kegg)
42146	group9_bins.202_contig_6964748_26		rank: C;large subunit ribosomal protein L5 (db=kegg)
42147	group9_bins.202_contig_6964748_28		rank: C;small subunit ribosomal protein S8 (db=kegg)
42148	group9_bins.202_contig_6964748_31		rank: C;small subunit ribosomal protein S5 (db=kegg)
42149	group9_bins.202_contig_6964748_40		rank: C;small subunit ribosomal protein S4 (db=kegg)
42150	group9_bins.202_contig_6964748_41		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
42151	group9_bins.202_contig_6964748_44		rank: E
42152	group9_bins.202_contig_6964752_7		rank: C;glutamyl-tRNA synthetase [EC:6.1.1.17] (db=kegg)
42153	group9_bins.202_contig_6964760_4		rank: C;Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1] (db=kegg)
42154	group9_bins.202_contig_6964760_5		rank: C;Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1] (db=kegg)
42155	group9_bins.202_contig_6964760_6		rank: C;Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1] (db=kegg)
42156	group9_bins.202_contig_6964763_2		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
42157	group9_bins.202_contig_6964764_10		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
42158	group9_bins.202_contig_6964767_20		rank: C;large subunit ribosomal protein L31 (db=kegg)
42159	group9_bins.202_contig_6964777_14		rank: C;diphosphate-dependent phosphofructokinase [EC:2.7.1.90] (db=kegg)
42160	group9_bins.202_contig_6964777_16		rank: C;2-dehydro-3-deoxygluconokinase [EC:2.7.1.45] (db=kegg)
42161	group9_bins.202_contig_6964778_9		rank: E
42162	group9_bins.202_contig_6964793_6		rank: E
42163	group9_bins.202_contig_6964798_6		rank: D;OmpA family [PF00691.25];Glycine zipper [PF13488.11];YMGG-like Gly-zipper [PF13441.11] (db=pfam)
42164	group9_bins.202_contig_6964800_7		rank: D;Amylo-alpha-1,6-glucosidase [PF06202.19];Glycogen debranching enzyme N terminal [PF12439.13];Mannosylglycerate hydrolase MGH1-like glycoside hydrolase domain [PF22422.1] (db=pfam)
42165	group9_bins.202_contig_6964801_3		rank: D;short chain dehydrogenase [PF00106.30];Enoyl-(Acyl carrier protein) reductase [PF13561.11];KR domain [PF08659.15] (db=pfam)
42166	group9_bins.202_contig_6964801_7		rank: C;rubrerythrin (db=kegg)
42167	group9_bins.202_contig_6964812_10		rank: C;large subunit ribosomal protein L1 (db=kegg)
42168	group9_bins.202_contig_6964812_12		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
42169	group9_bins.202_contig_6964812_7		rank: C;elongation factor Tu (db=kegg)
42170	group9_bins.202_contig_6964815_5		rank: C;superoxide dismutase, Fe-Mn family [EC:1.15.1.1] (db=kegg)
42171	group9_bins.202_contig_6964817_3		rank: D;Tetratricopeptide repeat [PF13429.11] (db=pfam)
42172	group9_bins.202_contig_6964821_10		rank: D;OmpA family [PF00691.25] (db=pfam)
42173	group9_bins.202_contig_6964821_6		rank: E
42174	group9_bins.202_contig_6964823_2		rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)
42175	group9_bins.202_contig_6964826_2		rank: D;Type IX secretion system protein PorV [PF19572.4];Outer membrane protein transport protein (OMPP1/FadL/TodX) [PF03349.21] (db=pfam)
42176	group9_bins.202_contig_6964828_7		rank: E
42177	group9_bins.202_contig_6964840_5		rank: C;SecD/SecF fusion protein (db=kegg)
42178	group9_bins.202_contig_6964843_6		rank: C;tagaturonate reductase [EC:1.1.1.58] (db=kegg)
42179	group9_bins.202_contig_6964846_18		rank: D;Response regulator receiver domain [PF00072.29];Transcriptional regulatory protein, C terminal [PF00486.33] (db=pfam)
42180	group9_bins.202_contig_6964846_2		rank: C;flotillin (db=kegg)
42181	group9_bins.202_contig_6964847_4		rank: D;FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.33];Domain amino terminal to FKBP-type peptidyl-prolyl isomerase [PF01346.23];Helicobacter pylori protein of unknown function (DUF874) [PF05917.16];CAF1 family ribonuclease [PF04857.25] (db=pfam)
42182	group9_bins.202_contig_6964849_1		rank: E
42183	group9_bins.202_contig_6964849_2		rank: D;Family of unknown function (DUF5723) [PF18990.5] (db=pfam)
42184	group9_bins.202_contig_6964850_12		rank: C;3-isopropylmalate dehydrogenase [EC:1.1.1.85] (db=kegg)
42185	group9_bins.202_contig_6964850_25		rank: C;3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (db=kegg)
42186	group9_bins.202_contig_6964850_8		rank: C;membrane fusion protein, multidrug efflux system (db=kegg)
42187	group9_bins.202_contig_6964850_9		rank: D;Outer membrane efflux protein [PF02321.23] (db=pfam)
42188	group9_bins.202_contig_6964854_1		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)
42189	group9_bins.202_contig_6964855_1		rank: D;Bacterial protein of unknown function (Gcw_chp) [PF09694.15] (db=pfam)
42190	group9_bins.202_contig_6964855_2		rank: C;nitrogen regulatory protein P-II 1 (db=kegg)
42191	group9_bins.202_contig_6964857_2		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
42192	group9_bins.202_contig_6964857_6		rank: C;1,4-alpha-glucan branching enzyme [EC:2.4.1.18] (db=kegg)
42193	group9_bins.202_contig_6964862_15		rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24];Biotin-requiring enzyme [PF00364.27] (db=pfam)
42194	group9_bins.202_contig_6964863_14		rank: E
42195	group9_bins.202_contig_6964871_2		rank: C;HSP20 family protein (db=kegg)
42196	group9_bins.202_contig_6964879_11		rank: C;DNA topoisomerase I [EC:5.6.2.1] (db=kegg)
42197	group9_bins.202_contig_6964882_2		rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)
42198	group9_bins.202_contig_6964884_5		rank: C;small subunit ribosomal protein S16 (db=kegg)
42199	group9_bins.244_contig_1379163_23		rank: C;phosphatidate cytidylyltransferase [EC:2.7.7.41] (db=kegg)
42200	group9_bins.244_contig_1379166_19		rank: E
42201	group9_bins.244_contig_1379166_39		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
42202	group9_bins.244_contig_1379167_21		rank: D;YegS C-terminal NAD kinase beta sandwich-like domain [PF19279.4];Diacylglycerol kinase catalytic domain [PF00781.29] (db=pfam)
42203	group9_bins.244_contig_1379170_18		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
42204	group9_bins.244_contig_1379170_23		rank: D;Family of unknown function (DUF5696) [PF18952.5] (db=pfam)
42205	group9_bins.244_contig_1379170_27		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
42206	group9_bins.244_contig_1379170_29		rank: C;polar amino acid transport system substrate-binding protein (db=kegg)
42207	group9_bins.244_contig_1379170_32		rank: C;small subunit ribosomal protein S16 (db=kegg)
42208	group9_bins.244_contig_1379170_36		rank: C;large subunit ribosomal protein L19 (db=kegg)
42209	group9_bins.244_contig_1379170_4		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
42210	group9_bins.244_contig_1379170_43		rank: C;elongation factor P (db=kegg)
42211	group9_bins.244_contig_1379172_4		rank: E
42212	group9_bins.244_contig_1379175_19		rank: D;FAD binding domain [PF00890.29];HI0933-like protein Rossmann domain [PF03486.19];FAD dependent oxidoreductase [PF12831.12];FAD dependent oxidoreductase [PF01266.29];FMN-binding domain [PF04205.19];FAD binding domain [PF01494.24] (db=pfam)
42213	group9_bins.244_contig_1379176_9		rank: D;Bacterial Ig domain [PF17957.6] (db=pfam)
42214	group9_bins.244_contig_1379181_12		rank: C;tetracycline resistance efflux pump (db=kegg)
42215	group9_bins.244_contig_1379181_19		rank: E
42216	group9_bins.244_contig_1379181_28		rank: C;adenylate kinase [EC:2.7.4.3] (db=kegg)
42217	group9_bins.244_contig_1379181_49		rank: C;superoxide reductase [EC:1.15.1.2] (db=kegg)
42218	group9_bins.244_contig_1379181_50		rank: C;ferritin [EC:1.16.3.2] (db=kegg)
42219	group9_bins.244_contig_1379181_55		rank: C;methyl-accepting chemotaxis protein (db=kegg)
42220	group9_bins.244_contig_1379181_77		rank: D;Carbohydrate-binding module 48 (Isoamylase N-terminal domain) [PF02922.23];Glycogen recognition site of AMP-activated protein kinase [PF16561.10] (db=pfam)
42221	group9_bins.244_contig_1379182_7		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
42222	group9_bins.244_contig_1379182_8		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)
42223	group9_bins.244_contig_1379183_10		rank: C;preprotein translocase subunit SecY (db=kegg)
42224	group9_bins.244_contig_1379183_109		rank: D;Bacterial extracellular solute-binding proteins, family 3 [PF00497.25];Ligated ion channel L-glutamate- and glycine-binding site [PF10613.14] (db=pfam)
42225	group9_bins.244_contig_1379183_12		rank: C;small subunit ribosomal protein S11 (db=kegg)
42226	group9_bins.244_contig_1379183_127		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
42227	group9_bins.244_contig_1379183_14		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
42228	group9_bins.244_contig_1379183_7		rank: C;small subunit ribosomal protein S5 (db=kegg)
42229	group9_bins.244_contig_1379183_83		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
42230	group9_bins.244_contig_1379183_9		rank: C;large subunit ribosomal protein L15 (db=kegg)
42231	group9_bins.244_contig_1379185_5		rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)
42232	group9_bins.244_contig_1379187_14		rank: C;modulator of FtsH protease HflC (db=kegg)
42233	group9_bins.244_contig_1379187_31		rank: E
42234	group9_bins.244_contig_1379187_4		rank: E
42235	group9_bins.244_contig_1379187_45		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)
42236	group9_bins.244_contig_1379187_7		rank: E
42237	group9_bins.244_contig_1379187_72		rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)
42238	group9_bins.244_contig_1379187_80		rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)
42239	group9_bins.244_contig_1379187_9		rank: E
42240	group9_bins.244_contig_1379191_4		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)
42241	group9_bins.244_contig_1379192_7		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)
42242	group9_bins.244_contig_1379194_1		rank: D;Pyruvate phosphate dikinase, AMP/ATP-binding domain [PF01326.24] (db=pfam)
42243	group9_bins.244_contig_1379197_2		rank: E
42244	group9_bins.244_contig_1379198_14		rank: C;YidC/Oxa1 family membrane protein insertase (db=kegg)
42245	group9_bins.244_contig_1379206_33		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)
42246	group9_bins.244_contig_1379206_34		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)
42247	group9_bins.244_contig_1379207_13		rank: C;flagellar hook protein FlgE (db=kegg)
42248	group9_bins.244_contig_1379207_27		rank: E
42249	group9_bins.244_contig_1379207_38		rank: C;GTP pyrophosphokinase [EC:2.7.6.5] (db=kegg)
42250	group9_bins.244_contig_1379207_39		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)
42251	group9_bins.244_contig_1379207_54		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)
42252	group9_bins.244_contig_1379213_3		rank: C;elongation factor G (db=kegg)
42253	group9_bins.244_contig_1379213_42		rank: D;Flavin reductase like domain [PF01613.23];Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2];Rubredoxin [PF00301.25] (db=pfam)
42254	group9_bins.244_contig_1379213_60		rank: C;preprotein translocase subunit YajC (db=kegg)
42255	group9_bins.244_contig_1379213_61		rank: D;Protein export membrane protein [PF02355.21];SecDF, P1 head subdomain [PF22599.1];Protein translocase subunit SecDF, P1 domain, N-terminal [PF21760.2];AcrB/AcrD/AcrF family [PF00873.24] (db=pfam)
42256	group9_bins.244_contig_1379213_62		rank: D;Protein export membrane protein [PF02355.21] (db=pfam)
42257	group9_bins.244_contig_1379216_18		rank: C;transketolase [EC:2.2.1.1] (db=kegg)
42258	group9_bins.244_contig_1379219_1		rank: E
42259	group9_bins.244_contig_1379219_41		rank: D;Curli production assembly/transport component CsgG [PF03783.19] (db=pfam)
42260	group9_bins.244_contig_1379220_30		rank: C;carbon starvation protein (db=kegg)
42261	group9_bins.244_contig_1379220_36		rank: C;phosphoribosylamine---glycine ligase [EC:6.3.4.13] (db=kegg)
42262	group9_bins.244_contig_1379220_39		rank: C;flagellin (db=kegg)
42263	group9_bins.244_contig_1379222_20		rank: C;heat shock protein HslJ (db=kegg)
42264	group9_bins.244_contig_1379223_13		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)
42265	group9_bins.244_contig_1379223_25		rank: C;outer membrane protein insertion porin family (db=kegg)
42266	group9_bins.244_contig_1379223_51		rank: D;Tetratricopeptide repeat-like domain [PF09976.14];Outer membrane lipoprotein [PF13525.11] (db=pfam)
42267	group9_bins.244_contig_1379223_53		rank: C;small subunit ribosomal protein S1 (db=kegg)
42268	group9_bins.244_contig_1379223_73		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)
42269	group9_bins.244_contig_1379224_8		rank: E
42270	group9_bins.244_contig_1379226_3		rank: D;Domain of unknown function (DUF4468) with TBP-like fold [PF14730.11] (db=pfam)
42271	group9_bins.244_contig_1379228_5		rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30];ATPsynthase alpha/beta subunit N-term extension [PF16886.10];ATP synthase alpha/beta family, beta-barrel domain [PF02874.28];C-terminal domain of V and A type ATP synthase [PF22919.1] (db=pfam)
42272	group9_bins.244_contig_1379229_17		rank: D;Bacterial extracellular solute-binding protein [PF13416.11];Bacterial extracellular solute-binding protein [PF13343.11] (db=pfam)
42273	group9_bins.244_contig_1379229_30		rank: D;PPIC-type PPIASE domain [PF00639.26] (db=pfam)
42274	group9_bins.244_contig_1379229_7		rank: C;uncharacterized protein (db=kegg)
42275	group9_bins.244_contig_1379230_8		rank: E
42276	group9_bins.244_contig_1379234_26		rank: C;flagellin (db=kegg)
42277	group9_bins.244_contig_1379234_27		rank: C;flagellin (db=kegg)
42278	group9_bins.244_contig_1379234_5		rank: C;uncharacterized protein (db=kegg)
42279	group9_bins.244_contig_1379246_21		rank: C;large subunit ribosomal protein L9 (db=kegg)
42280	group9_bins.244_contig_1379247_1		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
42281	group9_bins.244_contig_1379247_17		rank: D;Glycosyl transferase family 8 [PF01501.25] (db=pfam)
42282	group9_bins.244_contig_1379247_36		rank: C;molecular chaperone HtpG (db=kegg)
42283	group9_bins.244_contig_1379248_103		rank: C;HSP20 family protein (db=kegg)
42284	group9_bins.244_contig_1379248_110		rank: C;large subunit ribosomal protein L1 (db=kegg)
42285	group9_bins.244_contig_1379248_114		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)
42286	group9_bins.244_contig_1379248_117		rank: C;elongation factor Tu (db=kegg)
42287	group9_bins.244_contig_1379248_120		rank: C;large subunit ribosomal protein L4 (db=kegg)
42288	group9_bins.244_contig_1379248_35		rank: C;cellobiose transport system substrate-binding protein (db=kegg)
42289	group9_bins.244_contig_1379248_70		rank: E
42290	group9_bins.244_contig_1379248_8		rank: D;Permease family [PF00860.25] (db=pfam)
42291	group9_bins.244_contig_1379248_87		rank: E
42292	group9_bins.264_contig_5619628_19		rank: C;glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46] (db=kegg)
42293	group9_bins.264_contig_5619628_22		rank: D;Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];GXGXG motif [PF01493.24];Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.11];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF14697.11];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF13187.11];4Fe-4S dicluster domain [PF13247.11];NAD(P)-binding Rossmann-like domain [PF13450.11];Flavin-binding monooxygenase-like [PF00743.24];FAD binding domain [PF00890.29];FAD binding domain [PF01494.24];HI0933-like protein Rossmann domain [PF03486.19];FAD dependent oxidoreductase [PF01266.29];4Fe-4S double cluster binding domain [PF13484.11];4Fe-4S dicluster domain [PF13183.11] (db=pfam)
42294	group9_bins.264_contig_5619628_63		rank: C;putative tryptophan/tyrosine transport system substrate-binding protein (db=kegg)
42295	group9_bins.264_contig_5619628_70		rank: C;glycerol-3-phosphate dehydrogenase [EC:1.1.5.3] (db=kegg)
42296	group9_bins.264_contig_5619628_71		rank: C;glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3] (db=kegg)
42297	group9_bins.264_contig_5619628_73		rank: C;glycerol kinase [EC:2.7.1.30] (db=kegg)
42298	group9_bins.264_contig_5619628_74		rank: D;FGGY family of carbohydrate kinases, C-terminal domain [PF02782.21] (db=pfam)
42299	group9_bins.264_contig_5619630_3		rank: C;methyl-accepting chemotaxis protein (db=kegg)
42300	group9_bins.264_contig_5619633_16		rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)
42301	group9_bins.264_contig_5619633_7		rank: C;S-adenosylmethionine synthetase [EC:2.5.1.6] (db=kegg)
42302	group9_bins.264_contig_5619633_80		rank: C;small subunit ribosomal protein S1 (db=kegg)
42303	group9_bins.264_contig_5619633_89		rank: C;GTP-binding protein (db=kegg)
42304	group9_bins.264_contig_5619633_99		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)
42305	group9_bins.264_contig_5619634_4		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)
42306	group9_bins.264_contig_5619635_24		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)
42307	group9_bins.264_contig_5619635_32		rank: C;glycogen phosphorylase [EC:2.4.1.1] (db=kegg)
42308	group9_bins.264_contig_5619635_33		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)
42309	group9_bins.264_contig_5619635_34		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)
42310	group9_bins.264_contig_5619635_53		rank: C;erythritol transport system substrate-binding protein (db=kegg)
42311	group9_bins.264_contig_5619637_29		rank: E
42312	group9_bins.264_contig_5619637_41		rank: C;methyl-accepting chemotaxis protein (db=kegg)
42313	group9_bins.264_contig_5619638_12		rank: C;3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] (db=kegg)
